"año"	"mes"	"Total_inasistencias"
2024	1	58
2024	2	54
2024	3	42
2024	4	52
2024	5	51
2024	6	41
2024	7	54
2024	8	54
2024	9	59
2024	10	63
2024	11	42
2024	12	51
2025	1	51
2025	2	53
2025	3	55
2025	4	36
2025	5	56
2025	6	49
2025	7	52
2025	8	39




"IDMedico"	"Nombre"	"Total_inasistencias"
418	"Isabel González"	16
2881	"Juan José Fuentes"	14
982	"Isabel Luis Contreras"	14
1878	"Ana Espinoza Muñoz"	14
1200	"Lucía Fuentes Morales"	14




"IDPaciente"	"Nombre"	"Total_inasistencias"
2299	"Ana Pedro González"	3
418	"Isabel González"	3
2326	"María Martínez Martínez"	3
300	"Paula Torres Araya"	3
1673	"Ana Paula López Rojas"	3






